permit_renewal_date,approval_date,total_area,application_type_arabic,parcel_id,application_id,building_count,load_timestamp,permit_no,application_type_english,application_status_arabic,project_no,application_submission_date,permit_date,application_status_english,building_type
"null","null","1128","تقديم نهائي \ مبنى جديد","5992357","1818130","0","2026-01-26 19:00:00","448644-3-2","Final-New Building","معادة","448644","2025-07-17","null","RETURNED","Multi Storey"
"null","2025-05-11","0","تقديم نهائي \ تعديلات أو أضافات","3943138","1790939","0","2026-01-26 19:00:00","436268-2-1","Final-Adjustment/Addition","الرخصة مسلمة","436268","2025-04-28","2025-05-12","Permit Delivered","Investment Villa"
"null","null","0","تغيير استشاري قبل صدور ترخيص البناء","6183455","1094379","0","2026-01-26 19:00:00","294600-5-3","Changing a Consultant Before building permit Issuance","معادة","294600","2017-07-23","null","RETURNED","null"
"null","2009-02-19","0","طلب مخططات البناء","1180440","298075","0","2026-01-26 19:00:00","168000-1-1","Apply for Buildings Drawings","معتمدة","168000","2009-02-19","null","Approved","null"
"null","null","0","الحصول على المنسوب المرجعي لمدخل المبنى","6713340","132814","0","2026-01-26 19:00:00","122706-1-3","Obtain the Gate Level of a Building Entrance","معادة","122706","2006-05-24","null","RETURNED","null"
"null","2020-09-24","0","طلب تصريح اشغال مؤقت للأراضي","9612784","1386733","0","2026-01-26 19:00:00","359363-1-1","Temporary permit to Occupy Parcel","الرخصة مسلمة","359363","2020-09-23","2020-10-11","Permit Delivered","null"
"null","1999-08-30","0","تقديم نهائي \ مبنى جديد","3750227","57823","1","2026-01-26 19:00:00","55943-1-1","Final-New Building","الرخصة مسلمة","55943","1999-08-28","1999-12-11","Permit Delivered","Private Villa"
"null","2023-10-13","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3190115","1623188","0","2026-01-26 19:00:00","408058-2-1","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","408058","2023-10-11","2023-12-07","Permit Delivered","Multi Storey"
"null","null","6","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6175026","392355","0","2026-01-26 19:00:00","176104-8-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","176104","2010-04-18","null","RETURNED","Private Villa"
"null","2012-12-18","504","تقديم نهائي \ مبنى جديد","2661330","583863","1","2026-01-26 19:00:00","187741-3-2","Final-New Building","الرخصة مسلمة","187741","2012-11-29","2013-02-24","Permit Delivered","Private Villa"
"null","2024-05-17","0","تقديم نهائي \ تعديلات أو أضافات","7118525","1680910","0","2026-01-26 19:00:00","401246-6-2","Final-Adjustment/Addition","الرخصة مسلمة","401246","2024-05-15","2024-05-17","Permit Delivered","Private Villa"
"null","2011-04-21","0","إلغاء  معاملة ترخيص","3330698","471827","0","2026-01-26 19:00:00","133393-17-1","Permit Application Cancellation","معتمدة","133393","2011-04-21","null","Approved","null"
"null","null","0","ترخيص اعمال ديكور عادى","3920187","462931","0","2026-01-26 19:00:00","199408-1-1","Normal Decor Permit","معادة","199408","2011-03-10","null","RETURNED","Multi Storey"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3944780","1633768","0","2026-01-26 19:00:00","415347-1-1","Adjustment and Addition Permit Simple (Owners)","معادة","415347","2023-11-20","null","RETURNED","Investment Villa"
"null","2019-10-27","0","طلب تصريح اشغال مؤقت للأراضي","1272014","1329330","0","2026-01-26 19:00:00","343513-2-1","Temporary permit to Occupy Parcel","الرخصة مسلمة","343513","2019-10-24","2019-10-28","Permit Delivered","null"
"null","2016-11-02","0","تقديم نهائي - ترخيص اعمال الحفر وتدعيم الحفر ونضح المياه","5991865","989866","0","2026-01-26 19:00:00","261796-8-3","Final Arrangement and Digging","الرخصة مسلمة","261796","2016-10-30","2016-11-02","Permit Delivered","Multi Storey"
"null","2025-12-25","0","تقديم نهائي \ تعديلات أو أضافات","3680542","1873680","0","2026-01-26 19:00:00","444007-7-1","Final-Adjustment/Addition","معتمدة","444007","2025-12-24","null","Approved","Public Building"
"null","2023-07-31","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","5971201","1601710","0","2026-01-26 19:00:00","377717-16-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","377717","2023-07-27","2023-07-31","Permit Delivered","Industrial Building"
"null","null","1183","تقديم أولي \ مبنى جديد","2341222","411203","0","2026-01-26 19:00:00","188520-2-2","Preliminary-New Building","معادة","188520","2010-07-08","null","RETURNED","Public Building"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2830133","1230001","0","2026-01-26 19:00:00","270716-5-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معاملة معادة ملغاة","270716","2018-08-15","null","Returned Application Cancelled","Industrial Building"
"null","null","0","رخصة صيانة","1260529","478509","0","2026-01-26 19:00:00","202336-1-1","Maintenance Permit by Consultant","معاملة معادة ملغاة","202336","2011-05-23","null","Returned Application Cancelled","Private Villa"
"null","null","767","تقديم نهائي \ تعديلات أو أضافات","3640301","411317","0","2026-01-26 19:00:00","151175-14-1","Final-Adjustment/Addition","معاملة معادة ملغاة","151175","2010-07-15","null","Returned Application Cancelled","Industrial Building"
"null","2023-07-25","0","الحصول على المنسوب المرجعي لمدخل المبنى","7115288","1599736","0","2026-01-26 19:00:00","407113-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","407113","2023-07-23","null","Approved","null"
"null","2001-10-01","0","تقديم نهائي \ تعديلات أو أضافات","3520349","93889","0","2026-01-26 19:00:00","92009-1-1","Final-Adjustment/Addition","الرخصة مسلمة","92009","2001-09-30","2001-10-01","Permit Delivered","null"
"null","2006-12-11","132","تقديم نهائي \ تعديلات أو أضافات","3761360","159546","1","2026-01-26 19:00:00","133292-1-1","Final-Adjustment/Addition","الرخصة مسلمة","133292","2006-12-05","2007-02-20","Permit Delivered","Private Villa"
"null","2025-12-04","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6164912","1865956","0","2026-01-26 19:00:00","427717-6-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","427717","2025-12-03","2025-12-09","Permit Delivered","Private Villa"
"null","2025-11-03","262","تقديم نهائي \ مبنى جديد","7114439","1850496","1","2026-01-26 19:00:00","459860-2-1","Final-New Building","الرخصة مسلمة","459860","2025-11-01","2025-11-05","Permit Delivered","Private Villa"
"null","null","0","الحصول على المنسوب المرجعي لمدخل المبنى","2163271","196040","0","2026-01-26 19:00:00","138920-1-2","Obtain the Gate Level of a Building Entrance","معادة","138920","2007-08-02","null","RETURNED","null"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","4232117","333429","0","2026-01-26 19:00:00","153827-5-2","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","153827","2009-08-05","null","RETURNED","Private Villa"
"null","2009-03-03","0","إستثناءات","3881650","293613","0","2026-01-26 19:00:00","148635-2-1","Request for Exceptions","معتمدة","148635","2009-02-15","null","Approved","Investment Villa"
"null","null","1032","تقديم نهائي \ مبنى جديد","6310171","1064447","0","2026-01-26 19:00:00","307769-1-1","Final-New Building","معادة","307769","2017-05-14","null","RETURNED","Private Villa"
"null","2025-03-28","0","تقديم نهائي \ تعديلات أو أضافات","6160117","1780394","0","2026-01-26 19:00:00","408241-7-1","Final-Adjustment/Addition","الرخصة مسلمة","408241","2025-03-22","2025-03-28","Permit Delivered","Private Villa"
"null","2025-10-10","225","تقديم نهائي \ مبنى جديد","9256066","1845562","1","2026-01-26 19:00:00","421230-4-1","Final-New Building","الرخصة مسلمة","421230","2025-10-08","2025-10-10","Permit Delivered","Private Villa"
"null","2008-09-12","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3731239","266524","0","2026-01-26 19:00:00","154754-2-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","154754","2008-09-10","2008-09-22","Permit Delivered","Multi Storey"
"null","2008-01-02","319","تقديم نهائي \ مبنى جديد","2654198","211639","1","2026-01-26 19:00:00","148164-1-1","Final-New Building","الرخصة مسلمة","148164","2007-12-17","2008-01-09","Permit Delivered","Private Villa"
"null","null","919","تقديم أولي \ تعديلات أو أضافات","5970796","1383159","0","2026-01-26 19:00:00","358654-1-1","Preliminary-Adjustment/Addition","معاملة معادة ملغاة","358654","2020-09-06","null","Returned Application Cancelled","Industrial Building"
"null","2013-04-17","0","إستثناءات","9310206","611042","0","2026-01-26 19:00:00","225068-1-2","Request for Exceptions","معتمدة","225068","2013-04-04","null","Approved","Private Villa"
"null","2022-12-21","76","تقديم نهائي \ تعديلات أو أضافات","7116564","1547108","0","2026-01-26 19:00:00","379328-5-5","Final-Adjustment/Addition","الرخصة مسلمة","379328","2022-12-19","2022-12-21","Permit Delivered","Private Villa"
"null","2019-02-26","0","طلب مخططات البناء","3751592","1279742","0","2026-01-26 19:00:00","340779-1-1","Apply for Buildings Drawings","معتمدة","340779","2019-02-26","null","Approved","null"
"null","null","2374","تقديم أولي \ مبنى جديد","5970900","223757","0","2026-01-26 19:00:00","149839-1-1","Preliminary-New Building","لا مانع من التقديم النهائي","149839","2008-02-11","null","No objection for final submission","Industrial Building"
"null","2014-06-17","0","طلب مخططات البناء","3690460","712995","0","2026-01-26 19:00:00","247264-1-1","Apply for Buildings Drawings","معتمدة","247264","2014-06-17","null","Approved","null"
"null","2017-10-29","0","ترخيص اعمال ديكور عادى","3450897","1123466","0","2026-01-26 19:00:00","317471-1-1","Normal Decor Permit","الرخصة مسلمة","317471","2017-10-09","2017-10-29","Permit Delivered","Multi Storey"
"null","2023-08-21","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3561031","1607878","0","2026-01-26 19:00:00","319981-10-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","319981","2023-08-18","2023-09-01","Permit Delivered","Public Building"
"null","2011-06-07","0","طلب تصريح اشغال مؤقت للأراضي","1341072","480957","0","2026-01-26 19:00:00","164857-11-1","Temporary permit to Occupy Parcel","الرخصة مسلمة","164857","2011-06-05","2011-06-07","Permit Delivered","null"
"null","2022-06-23","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","5970615","1506749","0","2026-01-26 19:00:00","376634-2-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","376634","2022-06-21","2022-06-24","Permit Delivered","Industrial Building"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","2630149","174264","0","2026-01-26 19:00:00","137112-1-1","Adjustment and Addition Permit Simple (Owners)","معاملة معادة ملغاة","137112","2007-03-18","null","Returned Application Cancelled","Private Villa"
"null","2017-08-10","0","تقديم نهائي \ تعديلات أو أضافات","3020403","1097562","0","2026-01-26 19:00:00","258773-6-1","Final-Adjustment/Addition","الرخصة مسلمة","258773","2017-08-02","2017-08-18","Permit Delivered","Investment Villa"
"null","null","0","ترخيص اعمال ديكور عادى","2163281","145093","0","2026-01-26 19:00:00","128653-1-1","Normal Decor Permit","معادة","128653","2006-08-07","null","RETURNED","Public Building"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3621366","372840","0","2026-01-26 19:00:00","154341-5-1","Final-Adjustment/Addition","معادة","154341","2010-02-03","null","RETURNED","Private Villa"
"null","2013-11-07","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","5970959","660112","0","2026-01-26 19:00:00","232297-2-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","232297","2013-11-06","2013-11-11","Permit Delivered","Industrial Building"
"null","2015-10-19","0","تقديم نهائي \ تعديلات أو أضافات","3690398","853434","1","2026-01-26 19:00:00","271040-1-4","Final-Adjustment/Addition","معاملة معتمدة ملغاة","271040","2015-10-18","null","Approved Application Cancelled","Industrial Building"
"null","2020-12-06","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","5981770","1400324","0","2026-01-26 19:00:00","357257-6-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","357257","2020-12-05","2020-12-07","Permit Delivered","Industrial Building"
